Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
diamond,19,19,20.647058823529413,6.47,2.5,1.0
diamondback,19,17,0.09803921568627451,10.18,3.88,0.8947368421052632
diapason,19,6,0.0196078431372549,14.5,6.02,0.3157894736842105
diaper,21,20,4.2745098039215685,3.4,1.82,0.9523809523809523
diaphanous,19,11,0.09803921568627451,16.27,6.92,0.5789473684210527
diaphoresis,18,9,0.0196078431372549,15.22,3.31,0.5
diaphoretic,20,8,0.21568627450980393,15.0,3.7,0.4
diaphragm,20,19,2.0588235294117645,12.58,3.13,0.95
diaphragmatic,20,9,0.0784313725490196,15.44,2.96,0.45
diarist,18,11,0.0784313725490196,14.09,3.83,0.6111111111111112
diary,18,18,8.980392156862745,7.72,2.8,1.0
diastole,19,10,,14.9,3.63,0.5263157894736842
diastolic,18,14,0.17647058823529413,16.64,3.2,0.7777777777777778
diathermy,18,3,,15.33,3.06,0.16666666666666666
diatomaceous,19,6,0.0392156862745098,15.33,3.67,0.3157894736842105
diatonic,18,11,0.0196078431372549,14.18,3.06,0.6111111111111112
diatribe,18,11,0.27450980392156865,15.27,3.69,0.6111111111111112
diazepam,19,12,0.27450980392156865,15.67,6.05,0.631578947368421
diazomethane,18,6,0.0196078431372549,16.83,3.82,0.3333333333333333
dib,18,13,1.8431372549019607,10.62,5.2,0.7222222222222222
dibber,18,8,0.0196078431372549,12.75,3.54,0.4444444444444444
dibs,20,18,2.3137254901960786,7.56,2.94,0.9
dice,19,19,10.450980392156863,6.37,2.22,1.0
dicer,19,13,0.058823529411764705,9.92,2.56,0.6842105263157895
dicey,18,17,0.6078431372549019,12.65,4.29,0.9444444444444444
dichotomous,20,10,0.0196078431372549,16.1,4.41,0.5
dichotomy,18,13,0.11764705882352941,15.23,2.39,0.7222222222222222
dichromate,20,15,0.0392156862745098,15.47,2.72,0.75
dick,18,18,53.0,10.89,2.99,1.0
dicker,19,10,0.1568627450980392,15.7,5.27,0.5263157894736842
dickhead,19,19,3.156862745098039,10.84,3.15,1.0
dictate,19,19,1.7450980392156863,10.26,2.73,1.0
dictation,18,18,0.9411764705882353,12.11,2.74,1.0
dictator,20,20,2.1176470588235294,10.6,2.37,1.0
dictatorial,19,18,0.13725490196078433,12.56,3.55,0.9473684210526315
dictatorship,18,18,0.9215686274509803,11.72,2.74,1.0
diction,19,16,0.49019607843137253,13.06,3.21,0.8421052631578947
dictionary,18,18,3.7254901960784315,7.28,1.64,1.0
dictograph,19,10,0.058823529411764705,13.6,5.21,0.5263157894736842
dictum,20,14,0.0196078431372549,16.43,2.79,0.7
didactic,19,10,0.0392156862745098,16.9,3.35,0.5263157894736842
didacticism,18,9,0.0196078431372549,15.33,2.0,0.5
diddle,18,15,0.8431372549019608,9.8,4.51,0.8333333333333334
diddlysquat,18,18,0.0392156862745098,9.56,3.48,1.0
didgeridoo,22,15,0.0392156862745098,15.2,3.26,0.6818181818181818
die,19,19,261.1372549019608,4.53,1.78,1.0
diehard,18,18,0.09803921568627451,12.0,3.85,1.0
dielectric,19,13,0.058823529411764705,14.23,3.49,0.6842105263157895
diesel,21,21,2.6470588235294117,11.67,4.93,1.0
diet,20,20,15.372549019607844,9.25,3.02,1.0
dietary,22,22,0.35294117647058826,11.36,3.16,1.0
dietetic,21,15,0.0392156862745098,12.93,3.26,0.7142857142857143
diethyl,19,8,0.0196078431372549,16.38,4.1,0.42105263157894735
diethylamide,20,10,0.0392156862745098,19.5,4.14,0.5
dietician,19,17,0.058823529411764705,12.35,3.16,0.8947368421052632
diff,19,8,0.7058823529411765,10.62,2.45,0.42105263157894735
differ,19,19,2.4313725490196076,9.0,2.58,1.0
difference,18,17,79.72549019607843,7.35,2.76,0.9444444444444444
different,20,20,209.52941176470588,5.5,1.67,1.0
